week,topic,module
1,Exploratory Data Science in Python,Exploratory Data Science
2,Data Visualization Fundamentals,Exploratory Data Science
3,Geospatial Data Analysis and GeoPandas,Introduction to Geospatial Data Science
4,"More Interactive Data Viz, Working with Raster Datasets",Introduction to Geospatial Data Science
5,"OpenStreetMap, Urban Networks, and Interactive Web Maps",Introduction to Geospatial Data Science
6,Web Scraping,Data Ingestion & Big Data
7,Working with APIs,Data Ingestion & Big Data
8,Analyzing and Visualizing Large Datasets,Data Ingestion & Big Data
9,"Github Pages, Web Servers, and Dash",From Exploration to Storytelling
10,From Notebooks to the Web: Dashboarding with Panel and the HoloViz Ecosystem,From Exploration to Storytelling
11,Case Study: Predicting Home Prices in Philadelphia,Geospatial Data Science in the Wild
12,Case Study: Predicting Space/time Rideshare Demand,Geospatial Data Science in the Wild
13,Case Study: Clustering Analysis in Python,Geospatial Data Science in the Wild
14,Case Study: Advanced Raster Analysis,Geospatial Data Science in the Wild


